Gene	Score	Prediction	Annotation	Comment	Rank gradR analysis
slr0456	-1,7913517875	Non RNA-binding protein			
ssl1762	-1,7924892938	Non RNA-binding protein			
ssr3154	-1,7949218557	Non RNA-binding protein			
Norf1	-1,7953506419	Non RNA-binding protein			
slr1556	-1,7956194374	Non RNA-binding protein			
slr2001	-1,7959366474	Non RNA-binding protein			
sll0350	-1,7963158437	Non RNA-binding protein			
slr1271	-1,7991822288	Non RNA-binding protein			
sll1394	-1,7994751838	Non RNA-binding protein			
ssl0563	-1,8007429128	Non RNA-binding protein			
sll1834	-1,8013350023	Non RNA-binding protein			
sll0444	-1,8018792426	Non RNA-binding protein			
sll5049	-1,8037350151	Non RNA-binding protein			
sll5049	-1,8037350151	Non RNA-binding protein			
sll1131	-1,8056806433	Non RNA-binding protein			
slr1298	-1,8060232351	Non RNA-binding protein			
sll1321	-1,8084797031	Non RNA-binding protein			
slr5005	-1,8089115812	Non RNA-binding protein			
slr5005	-1,8089115812	Non RNA-binding protein			
slr0782	-1,8110842331	Non RNA-binding protein			
slr2007	-1,8164805615	Non RNA-binding protein			
ssr3571	-1,8169329444	Non RNA-binding protein			
slr1603	-1,8193730805	Non RNA-binding protein			
sll0609	-1,8195647192	Non RNA-binding protein			
sll0839	-1,8212748736	Non RNA-binding protein			
slr1279	-1,8241063491	Non RNA-binding protein			
sll0426	-1,8266661603	Non RNA-binding protein			
slr0588	-1,8272101963	Non RNA-binding protein			
ssl6018	-1,8303230251	Non RNA-binding protein			
ssl6077	-1,8303230251	Non RNA-binding protein			
ssl6018	-1,8303230251	Non RNA-binding protein			
ssl6077	-1,8303230251	Non RNA-binding protein			
slr0042	-1,8340855317	Non RNA-binding protein			
sll8019	-1,8346998496	Non RNA-binding protein			
smr0010	-1,8402677061	Non RNA-binding protein			
sll0834	-1,8435119173	Non RNA-binding protein			
slr1787	-1,8455567231	Non RNA-binding protein			
slr0342	-1,8458001511	Non RNA-binding protein			
smr0005	-1,8484488524	Non RNA-binding protein			
sll1513	-1,8555644971	Non RNA-binding protein			
sll0062	-1,8565754462	Non RNA-binding protein			
sll5046	-1,8576225362	Non RNA-binding protein			
slr1820	-1,8609373883	Non RNA-binding protein			
sll0875	-1,8609601448	Non RNA-binding protein			
ssr2802	-1,8610347636	Non RNA-binding protein			
slr1980	-1,8616792302	Non RNA-binding protein			
ssl0323	-1,8638435409	Non RNA-binding protein			
slr1694	-1,8658992109	Non RNA-binding protein			
ssr3307	-1,8663695435	Non RNA-binding protein			
slr1827	-1,8685886205	Non RNA-binding protein			
ssr0756	-1,8694381304	Non RNA-binding protein			
sll0603	-1,8740697147	Non RNA-binding protein			
smr0008	-1,8742207741	Non RNA-binding protein			
slr2027	-1,8746375911	Non RNA-binding protein			
sll0813	-1,8748681356	Non RNA-binding protein			
slr0142	-1,8768707418	Non RNA-binding protein			
ssr2194	-1,8802705391	Non RNA-binding protein			
sll0654	-1,8818997076	Non RNA-binding protein			
ssr2912	-1,8836815405	Non RNA-binding protein			
sll0647	-1,8859623669	Non RNA-binding protein			
sll1245	-1,8869689189	Non RNA-binding protein			
sll0060	-1,8923204547	Non RNA-binding protein			
slr1454	-1,8924966539	Non RNA-binding protein			
slr0796	-1,8943103891	Non RNA-binding protein			
ssr0761	-1,8981372912	Non RNA-binding protein			
sll1107	-1,8996182743	Non RNA-binding protein			
slr0591	-1,9005906577	Non RNA-binding protein			
ssl5031	-1,9061416292	Non RNA-binding protein			
sll1959	-1,9069396122	Non RNA-binding protein			
slr1773	-1,9071257176	Non RNA-binding protein			
slr1461	-1,9077236666	Non RNA-binding protein			
slr1327	-1,9098991012	Non RNA-binding protein			
ssl2559	-1,9192897415	Non RNA-binding protein			
slr1798	-1,9203326234	Non RNA-binding protein			
sll1926	-1,9204405456	Non RNA-binding protein			
slr2017	-1,9208616677	Non RNA-binding protein			
slr2118	-1,9236360412	Non RNA-binding protein			
sll1291	-1,9249495305	Non RNA-binding protein			
slr6014	-1,9261693381	Non RNA-binding protein			
slr6073	-1,9261693381	Non RNA-binding protein			
slr6014	-1,9261693381	Non RNA-binding protein			
slr6073	-1,9261693381	Non RNA-binding protein			
slr6041	-1,9273137911	Non RNA-binding protein			
slr6041	-1,9273137911	Non RNA-binding protein			
sll0224	-1,9286452909	Non RNA-binding protein			
sll0938	-1,9296268234	Non RNA-binding protein			
ssr2340	-1,9316245159	Non RNA-binding protein			
sll0450	-1,9328282634	Non RNA-binding protein			
slr1866	-1,9345355898	Non RNA-binding protein			
sll0702	-1,9351538324	Non RNA-binding protein			
slr0264	-1,9375188497	Non RNA-binding protein			
slr0602	-1,9429221559	Non RNA-binding protein			
slr0019	-1,9430011391	Non RNA-binding protein			
sll1240	-1,9468780926	Non RNA-binding protein			
sll1447	-1,9483467075	Non RNA-binding protein			
ssr1966	-1,9507035105	Non RNA-binding protein			
slr0380	-1,9558658826	Non RNA-binding protein			
sll0688	-1,9585278664	Non RNA-binding protein			
sll0397	-1,9588813168	Non RNA-binding protein			
sll0554	-1,9635471358	Non RNA-binding protein			
ssl2653	-1,9642012368	Non RNA-binding protein			
sll0383	-1,9683804539	Non RNA-binding protein			
sll0462	-1,9695530693	Non RNA-binding protein			
sll0771	-1,9703913356	Non RNA-binding protein			
slr2006	-1,9757658971	Non RNA-binding protein			
slr1860	-1,9791548953	Non RNA-binding protein			
slr0789	-1,9798170326	Non RNA-binding protein			
slr0896	-1,9810871766	Non RNA-binding protein			
slr0730	-1,9833015824	Non RNA-binding protein			
slr1627	-1,9853349601	Non RNA-binding protein			
sll1441	-1,9869199746	Non RNA-binding protein			
sll0198	-1,9874152395	Non RNA-binding protein			
ssl5031	-1,9907931722	Non RNA-binding protein			
slr0891	-1,9917114428	Non RNA-binding protein			
slr1319	-1,9921447914	Non RNA-binding protein			
slr1063	-1,9922006178	Non RNA-binding protein			
sll1814	-1,9951570049	Non RNA-binding protein			
ssl5001	-1,9969761557	Non RNA-binding protein			
ssl5001	-1,9969761557	Non RNA-binding protein			
slr0779	-2,0032590391	Non RNA-binding protein			
slr0815	-2,0054101075	Non RNA-binding protein			
sll1509	-2,0060996163	Non RNA-binding protein			
slr0909	-2,0062112096	Non RNA-binding protein			
sll0498	-2,0082864529	Non RNA-binding protein			
sll1732	-2,0138816775	Non RNA-binding protein			
slr1257	-2,0147727009	Non RNA-binding protein			
slr0347	-2,0161259402	Non RNA-binding protein			
slr0015	-2,0170626161	Non RNA-binding protein			
slr1285	-2,0173487922	Non RNA-binding protein			
sll1451	-2,0175222639	Non RNA-binding protein			
sll1655	-2,0178637918	Non RNA-binding protein			
ssr3451	-2,0197890058	Non RNA-binding protein			
slr1752	-2,0202398775	Non RNA-binding protein			
slr0343	-2,0210152143	Non RNA-binding protein			
slr1512	-2,0212818681	Non RNA-binding protein			
sll0509	-2,0269204076	Non RNA-binding protein			
sll1946	-2,0279923577	Non RNA-binding protein			
sll1270	-2,0285960363	Non RNA-binding protein			
slr0964	-2,0287369593	Non RNA-binding protein			
sll0247	-2,0295175899	Non RNA-binding protein			
sll1677	-2,0317972208	Non RNA-binding protein			
sll1500	-2,0323455232	Non RNA-binding protein			
slr2083	-2,0354518028	Non RNA-binding protein			
slr0841	-2,0355475156	Non RNA-binding protein			
sll0851	-2,0391939299	Non RNA-binding protein			
sll0624	-2,0393499034	Non RNA-binding protein			
sll1665	-2,0430301211	Non RNA-binding protein			
slr1260	-2,0443844052	Non RNA-binding protein			
slr1170	-2,0467604678	Non RNA-binding protein			
sll0678	-2,0472755772	Non RNA-binding protein			
slr5127	-2,0501484532	Non RNA-binding protein			
slr5127	-2,0501484532	Non RNA-binding protein			
sll0657	-2,0520549828	Non RNA-binding protein			
sll1372	-2,0537986843	Non RNA-binding protein			
slr1552	-2,0545097379	Non RNA-binding protein			
slr0096	-2,0565648372	Non RNA-binding protein			
slr0199	-2,0575575309	Non RNA-binding protein			
slr0732	-2,0601192667	Non RNA-binding protein			
slr1652	-2,0611625002	Non RNA-binding protein			
ssr5074	-2,0621461845	Non RNA-binding protein			
ssr5074	-2,0621461845	Non RNA-binding protein			
sll1064	-2,0646322038	Non RNA-binding protein			
slr0103	-2,0670770644	Non RNA-binding protein			
slr1727	-2,0704496206	Non RNA-binding protein			
slr1453	-2,0729378088	Non RNA-binding protein			
sll8032	-2,0740639979	Non RNA-binding protein			
sll8032	-2,0740639979	Non RNA-binding protein			
slr0112	-2,0741632399	Non RNA-binding protein			
slr1365	-2,0788208436	Non RNA-binding protein			
ssl0350	-2,0805036377	Non RNA-binding protein			
slr0108	-2,0828905386	Non RNA-binding protein			
sll0574	-2,0828909466	Non RNA-binding protein			
ssr7018	-2,0853480129	Non RNA-binding protein			
sll0027	-2,0876522861	Non RNA-binding protein			
slr0967	-2,0891389897	Non RNA-binding protein			
sll0369	-2,0891837219	Non RNA-binding protein			
sll1352	-2,0901272193	Non RNA-binding protein			
sll1017	-2,0951464692	Non RNA-binding protein			
slr1288	-2,0972992016	Non RNA-binding protein			
sll0026	-2,0981765211	Non RNA-binding protein			
sll1032	-2,0984910661	Non RNA-binding protein			
slr1050	-2,0987844489	Non RNA-binding protein			
sll1191	-2,0991674898	Non RNA-binding protein			
slr6016	-2,1056323674	Non RNA-binding protein			
slr6075	-2,1056323674	Non RNA-binding protein			
slr6016	-2,1056323674	Non RNA-binding protein			
slr6075	-2,1056323674	Non RNA-binding protein			
slr1410	-2,1070742903	Non RNA-binding protein			
sll1486	-2,1121927407	Non RNA-binding protein			
sml0009	-2,1122644384	Non RNA-binding protein			
sll0815	-2,1139388204	Non RNA-binding protein			
sll0615	-2,1157736376	Non RNA-binding protein			
slr0681	-2,1180739616	Non RNA-binding protein			
ssr7018	-2,1205796801	Non RNA-binding protein			
slr1908	-2,1235899217	Non RNA-binding protein			
sll0223	-2,1237779149	Non RNA-binding protein			
slr1407	-2,1259794409	Non RNA-binding protein			
sll1775	-2,1297212541	Non RNA-binding protein			
sll1550	-2,1317961896	Non RNA-binding protein			
sll0778	-2,1356058092	Non RNA-binding protein			
slr2115	-2,1371809276	Non RNA-binding protein			
slr1931	-2,1393151092	Non RNA-binding protein			
slr1966	-2,1464077517	Non RNA-binding protein			
slr0530	-2,1473395017	Non RNA-binding protein			
sll1929	-2,1591938823	Non RNA-binding protein			
sll1068	-2,1594406297	Non RNA-binding protein			
slr1599	-2,1622809209	Non RNA-binding protein			
slr0844	-2,1623491115	Non RNA-binding protein			
sll0641	-2,1631959004	Non RNA-binding protein			
sll8035	-2,1634028399	Non RNA-binding protein			
sll8035	-2,1634028399	Non RNA-binding protein			
ssl0900	-2,1641061377	Non RNA-binding protein			
slr1519	-2,1654154042	Non RNA-binding protein			
slr1045	-2,1660625924	Non RNA-binding protein			
sll0855	-2,1663945221	Non RNA-binding protein			
slr6044	-2,1736503674	Non RNA-binding protein			
slr6044	-2,1736503674	Non RNA-binding protein			
slr1107	-2,1740026983	Non RNA-binding protein			
sll1204	-2,1744744969	Non RNA-binding protein			
sll1164	-2,1833907065	Non RNA-binding protein			
slr0369	-2,1849423621	Non RNA-binding protein			
sll0864	-2,1862494546	Non RNA-binding protein			
slr1456	-2,1873118767	Non RNA-binding protein			
slr1420	-2,1874377996	Non RNA-binding protein			
sll0146	-2,1897185725	Non RNA-binding protein			
sml0013	-2,1915139602	Non RNA-binding protein			
sll1733	-2,1959773151	Non RNA-binding protein			
sll1355	-2,2016564792	Non RNA-binding protein			
slr1925	-2,2026331599	Non RNA-binding protein			
sll1885	-2,2057252771	Non RNA-binding protein			
sll0448	-2,2070463629	Non RNA-binding protein			
sll1081	-2,2094430145	Non RNA-binding protein			
smr0009	-2,2203891173	Non RNA-binding protein			
sll0481	-2,2223293772	Non RNA-binding protein			
ssr1558	-2,2239456084	Non RNA-binding protein			
slr1547	-2,2255500899	Non RNA-binding protein			
slr1229	-2,2368978392	Non RNA-binding protein			
slr1924	-2,2378882489	Non RNA-binding protein			
sll2003	-2,2421333227	Non RNA-binding protein			
sll1333	-2,2441012914	Non RNA-binding protein			
slr1181	-2,2443014029	Non RNA-binding protein			
sll0521	-2,2443584568	Non RNA-binding protein			
sll0682	-2,2446668188	Non RNA-binding protein			
sll1060	-2,2454032773	Non RNA-binding protein			
ssr0536	-2,2456933375	Non RNA-binding protein			
sml0008	-2,2559853442	Non RNA-binding protein			
slr1249	-2,2624591639	Non RNA-binding protein			
slr1138	-2,2673920166	Non RNA-binding protein			
sll1510	-2,2673996445	Non RNA-binding protein			
sll0756	-2,2674372384	Non RNA-binding protein			
slr2135	-2,2747992587	Non RNA-binding protein			
sll0524	-2,2768325083	Non RNA-binding protein			
slr5038	-2,2810553753	Non RNA-binding protein			
slr5038	-2,2810553753	Non RNA-binding protein			
slr0582	-2,2819495356	Non RNA-binding protein			
sll1154	-2,2822952847	Non RNA-binding protein			
sll0496	-2,2848974921	Non RNA-binding protein			
slr1776	-2,2859602882	Non RNA-binding protein			
sll0849	-2,2861216974	Non RNA-binding protein			
slr0927	-2,2861216974	Non RNA-binding protein			
sll1898	-2,2882171237	Non RNA-binding protein			
sll0360	-2,2888426905	Non RNA-binding protein			
slr1944	-2,2910006494	Non RNA-binding protein			
sll0541	-2,2920302493	Non RNA-binding protein			
sll1951	-2,2949521606	Non RNA-binding protein			
slr1457	-2,2957264585	Non RNA-binding protein			
slr1518	-2,2982765031	Non RNA-binding protein			
slr0643	-2,3091206822	Non RNA-binding protein			
slr0753	-2,3116011214	Non RNA-binding protein			
slr0572	-2,3156307561	Non RNA-binding protein			
slr0488	-2,3172648527	Non RNA-binding protein			
sll0108	-2,3186315012	Non RNA-binding protein			
slr2018	-2,3203946683	Non RNA-binding protein			
slr2057	-2,3240146113	Non RNA-binding protein			
sll0262	-2,3240635092	Non RNA-binding protein			
slr0366	-2,3252818466	Non RNA-binding protein			
slr1114	-2,3268871512	Non RNA-binding protein			
slr0273	-2,3287033698	Non RNA-binding protein			
sll0760	-2,3299157751	Non RNA-binding protein			
sll1022	-2,3316335882	Non RNA-binding protein			
sll1192	-2,3323997233	Non RNA-binding protein			
slr0305	-2,3331719156	Non RNA-binding protein			
slr0438	-2,3334255472	Non RNA-binding protein			
slr0959	-2,3396435517	Non RNA-binding protein			
sll7006	-2,3407439165	Non RNA-binding protein			
sll7006	-2,3407439165	Non RNA-binding protein			
ssl2380	-2,3439253714	Non RNA-binding protein			
slr0531	-2,3473984598	Non RNA-binding protein			
slr1918	-2,3482580476	Non RNA-binding protein			
slr1595	-2,3549547496	Non RNA-binding protein			
slr5126	-2,3554913337	Non RNA-binding protein			
slr5126	-2,3554913337	Non RNA-binding protein			
ssr0336	-2,3583432446	Non RNA-binding protein			
slr0640	-2,3605668478	Non RNA-binding protein			
slr0944	-2,3646612222	Non RNA-binding protein			
sll0273	-2,3688225034	Non RNA-binding protein			
ssl3446	-2,3707830286	Non RNA-binding protein			
sll0312	-2,3813013875	Non RNA-binding protein			
sll0723	-2,3828856077	Non RNA-binding protein			
slr1834	-2,3883530842	Non RNA-binding protein			
ssr1407	-2,3933791373	Non RNA-binding protein			
slr1336	-2,3998577442	Non RNA-binding protein			
ssr2611	-2,4004478217	Non RNA-binding protein			
sll0648	-2,4054415898	Non RNA-binding protein			
slr1899	-2,4076521642	Non RNA-binding protein			
slr0636	-2,4133768845	Non RNA-binding protein			
sll1845	-2,4182284235	Non RNA-binding protein			
slr0327	-2,4191465406	Non RNA-binding protein			
sll0833	-2,4270386101	Non RNA-binding protein			
slr1835	-2,4341432708	Non RNA-binding protein			
sll0519	-2,4483343071	Non RNA-binding protein			
sll1428	-2,4522282927	Non RNA-binding protein			
ssr2142	-2,4576576907	Non RNA-binding protein			
sll1698	-2,4578648474	Non RNA-binding protein			
sll1531	-2,4672136313	Non RNA-binding protein			
slr1182	-2,4724875916	Non RNA-binding protein			
slr0793	-2,4729148529	Non RNA-binding protein			
sll0419	-2,4737611733	Non RNA-binding protein			
slr0949	-2,4787230076	Non RNA-binding protein			
sll0640	-2,4804827214	Non RNA-binding protein			
ssl3769	-2,4822114765	Non RNA-binding protein			
slr1262	-2,4837324861	Non RNA-binding protein			
sll1906	-2,4846783587	Non RNA-binding protein			
slr0775	-2,4913185023	Non RNA-binding protein			
slr1841	-2,4913816484	Non RNA-binding protein			
sll1925	-2,4943267627	Non RNA-binding protein			
slr0316	-2,5035509889	Non RNA-binding protein			
slr0639	-2,5051026422	Non RNA-binding protein			
sll1600	-2,5097753884	Non RNA-binding protein			
ssl2100	-2,5111664059	Non RNA-binding protein			
slr0522	-2,5230364448	Non RNA-binding protein			
slr1202	-2,5371359137	Non RNA-binding protein			
sll1867	-2,5523450109	Non RNA-binding protein			
slr1311	-2,5523450109	Non RNA-binding protein			
sll1373	-2,5636635037	Non RNA-binding protein			
slr2045	-2,5657527978	Non RNA-binding protein			
slr0589	-2,5710485568	Non RNA-binding protein			
sll0691	-2,5726247447	Non RNA-binding protein			
slr0784	-2,5871937103	Non RNA-binding protein			
slr0331	-2,5883457505	Non RNA-binding protein			
slr0041	-2,5953934644	Non RNA-binding protein			
slr2033	-2,6019158017	Non RNA-binding protein			
ssr0511	-2,6061590718	Non RNA-binding protein			
slr0977	-2,6066791951	Non RNA-binding protein			
slr1267	-2,6162077894	Non RNA-binding protein			
ssr2406	-2,6418401826	Non RNA-binding protein			
sll0686	-2,6431283904	Non RNA-binding protein			
sll1737	-2,6445357941	Non RNA-binding protein			
slr2131	-2,6481112067	Non RNA-binding protein			
sll0932	-2,6655310104	Non RNA-binding protein			
slr1380	-2,6662890069	Non RNA-binding protein			
slr0616	-2,6926984375	Non RNA-binding protein			
slr1647	-2,6952871587	Non RNA-binding protein			
sll1132	-2,7246390419	Non RNA-binding protein			
sll1187	-2,7361540806	Non RNA-binding protein			
sll1891	-2,7734874657	Non RNA-binding protein			
slr1864	-2,7741413716	Non RNA-binding protein			
slr0960	-2,7775525643	Non RNA-binding protein			
slr1248	-2,8003235194	Non RNA-binding protein			
sll1374	-2,8017238419	Non RNA-binding protein			
sll1409	-2,8085309645	Non RNA-binding protein			
slr1291	-2,8136146527	Non RNA-binding protein			
slr1200	-2,8262533764	Non RNA-binding protein			
